FID,PCODE,N_05_70K,N_15_100k,N_05_15,Cat_05_70K,Cat_15_100,Cat_05_15,Sub_indic
36,2032,20,10,-10,20 to 39%,Less than 20%,Less affordable,Kingsford
37,2025,5,5,0,Less than 20%,Less than 20%,About the same,Woollahra
38,2026,15,10,-5,Less than 20%,Less than 20%,About the same,Bondi
39,2027,10,10,0,Less than 20%,Less than 20%,About the same,Edgecliff
40,2130,45,10,-35,40 to 59%,Less than 20%,Much less affordable,Summer Hill
41,2028,10,5,-5,Less than 20%,Less than 20%,About the same,Double Bay
42,2146,50,15,-35,40 to 59%,Less than 20%,Much less affordable,Toongabbie
43,2029,15,5,-10,Less than 20%,Less than 20%,Less affordable,Rose Bay
44,2030,10,5,-5,Less than 20%,Less than 20%,About the same,Vaucluse
45,2147,60,10,-50,60 to 79%,Less than 20%,Much less affordable,Seven Hills
46,2148,75,30,-45,60 to 79%,20 to 39%,Much less affordable,Blacktown
47,2031,20,10,-10,20 to 39%,Less than 20%,Less affordable,Randwick
48,2033,20,10,-10,20 to 39%,Less than 20%,Less affordable,Kensington
49,2038,20,10,-10,20 to 39%,Less than 20%,Less affordable,Annandale
50,2154,5,5,0,Less than 20%,Less than 20%,About the same,Castle Hill
51,2155,10,5,-5,Less than 20%,Less than 20%,About the same,Kellyville
52,2156,5,5,0,Less than 20%,Less than 20%,About the same,Kenthurst
53,2034,15,5,-10,Less than 20%,Less than 20%,Less affordable,Coogee
54,2035,15,10,-5,Less than 20%,Less than 20%,About the same,Maroubra
55,2036,25,10,-15,20 to 39%,Less than 20%,Less affordable,Matraville
56,2157,5,5,0,Less than 20%,Less than 20%,About the same,Glenorie
57,2037,25,15,-10,20 to 39%,Less than 20%,Less affordable,Glebe
58,2048,20,10,-10,20 to 39%,Less than 20%,Less affordable,Stanmore
59,2158,10,15,5,Less than 20%,Less than 20%,About the same,Dural
60,2159,10,5,-5,Less than 20%,Less than 20%,About the same,Galston
61,2039,10,5,-5,Less than 20%,Less than 20%,About the same,Rozelle
62,2072,5,5,0,Less than 20%,Less than 20%,About the same,Gordon
63,2073,5,5,0,Less than 20%,Less than 20%,About the same,Pymble
64,2074,5,5,0,Less than 20%,Less than 20%,About the same,Turramurra
65,2075,5,5,0,Less than 20%,Less than 20%,About the same,St Ives
66,2076,5,5,0,Less than 20%,Less than 20%,About the same,Wahroonga
67,2077,40,10,-30,40 to 59%,Less than 20%,Much less affordable,Hornsby
68,2171,20,10,-10,20 to 39%,Less than 20%,Less affordable,Hoxton Park
69,2172,0,5,0,low sales volume,Less than 20%,low sales volume,Sandy Point
70,2173,25,5,-20,20 to 39%,Less than 20%,Less affordable,Holsworthy
71,2040,10,5,-5,Less than 20%,Less than 20%,About the same,Leichhardt
72,2041,10,5,-5,Less than 20%,Less than 20%,About the same,Balmain
73,2042,25,15,-10,20 to 39%,Less than 20%,Less affordable,Newtown
74,2043,10,5,-5,Less than 20%,Less than 20%,About the same,Erskineville
75,2174,0,10,0,low sales volume,Less than 20%,low sales volume,Edmondson Park
